Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
1,0.006657983302729633,0.015587985036561914,0.46805754553554796,0.3693147980351219,0.14038168809003854,6.106,2.858,0.5
10,,0.02741218946988704,0.6939972816177343,0.18046390550632233,0.0981266234060562,5.563,3.861,0.693
11,,0.0035503587131473437,0.7584071350625413,0.14899658647552427,0.089045919748787,6.926,5.253,0.699
12,,0.0017129723580976757,0.5354095244571698,0.15629477057481822,0.30658273260991425,6.319,3.383,0.688
13,,0.0011839064246586095,0.6051419375817972,0.12927636824164107,0.2643977877519031,8.683,5.2540000000000004,0.67
14,0.0044639794839859024,,0.8116059627079647,0.0527345293467155,0.13119552846133392,10.101,8.198,0.865
15,0.023646842805459048,0.015334196473653909,0.838365962287522,0.039658937621040356,0.0829940608123247,13.708,11.492,0.92
16,0.013800038622858262,,0.9376124431363393,0.0172476981541371,0.031339820086665374,15.885,14.894,0.972
17,0.013672077380715707,,0.921920806638608,0.012557791517217226,0.05184932446345908,13.85,12.769,0.96
18,0.026948675572312238,0.009162483879074522,0.7693676559352569,0.0359365477650951,0.15858463684826118,14.826,11.407,0.857
19,0.015575952202749358,0.008526941505932771,0.8920626363932997,0.022305969874932774,0.0615285000230853,12.694,11.323,0.975
2,,0.0014843940859314494,0.6708721456389287,0.21791678609872128,0.10972667417641846,6.711,4.502,0.516
20,0.014557855881155699,0.03672861594439661,0.8032864575558949,0.09550123063137614,0.04992583998717674,8.192,6.581,0.848
21,,,0.9293789367859098,0.0019854747526078915,0.06863558846148216,12.073,11.22,0.9
22,,,0.908085120249971,0.0032230387106765273,0.08869184103935251,10.281,9.336,0.971
23,,,0.9908497794965615,0.0013370644747660572,0.00781315602867247,15.962,15.816,0.936
24,0.02147601508810673,,0.9274677017784805,0.009439903281798464,0.04161637985161422,7.618,7.065,0.915
25,0.010607686558172066,,0.8183454431048716,0.005323105430998589,0.16572376490595783,13.348,10.924,0.924
26,0.015828923851276804,,0.7707369285308086,0.009587539580709735,0.20384660803720495,13.107000000000001,10.102,0.909
27,,,0.9977268867928497,0.0022731132071502893,,11.91,11.883000000000001,0.95
28,,0.004445107130250603,0.9331393061408825,0.008326468441517078,0.054089118287349816,8.363,7.804,0.937
29,0.008946397910609971,,0.9045368791038109,0.0142216601083009,0.07229506287727827,9.319,8.43,0.933
3,0.011814242402860043,0.009176911903585301,0.601793561564248,0.2742232448781588,0.1029920392511479,7.099,4.272,0.595
30,0.01847729758044721,,0.9483576968898184,0.009430153618053019,0.023734851911681214,8.805,8.35,0.87
31,,,0.7948510630699664,,0.20514893693003364,9.119,7.248,0.862
4,0.005246906855150186,0.016608175524729273,0.6819784045369597,0.22826369391647028,0.06790281916669061,9.056000000000001,6.176,0.744
5,0.048582826617619784,0.004931114776860754,0.7588389934597898,0.11788673741831947,0.06976032772741018,8.666,6.5760000000000005,0.84
6,0.027519631103005003,0.012498669202102308,0.8949571811802657,0.056148381405292665,0.008876137109334437,10.769,9.637,0.846
7,0.019157804992060545,0.01293474223339294,0.7753038483009806,0.04752767222209568,0.14507593225147025,9.794,7.593,0.783
8,,0.002679963999201818,0.5864356385884745,0.10888137441006052,0.3020030230022632,7.08,4.152,0.589
9,0.00885319830269603,0.006700737102112902,0.7212794459390869,0.13913845422234003,0.12402816443376408,6.479,4.673,0.757
